citation,name,publisher,cite_type,edition1,edition2,edition3,edition4,edition5,edition6,start_e1,start_e2,start_e3,start_e4,start_e5,start_e6,end_e1,end_e2,end_e3,end_e4,end_e5,end_e6,mlz_jurisdictions,variations,href,notes
ML,The Water Court of the State of Montana,,state,ML,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mt;water.court,,,
MP,Northern Mariana Islands,,state,MP,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:c9:mp.d;district.court,,,"Unknown name for reporter, but MP used."
MS,Mississippi Neutral Citation,,neutral,MS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ms;supreme.court,,,
MSPB,Merit Systems Protection Board,,neutral,MSPB,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
MT,Montana Neutral Citation,,neutral,MT,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mt;supreme.court,"Mt, mt",,
MacA. Pat. Cas.,Reports of cases arising upon applications for letters-patent for inventions determined in the Circuit and Supreme Court of the District of Columbia (MacArthur's Patent Cases),,specialty,MacA. Pat. Cas.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"D.C. (patent), Mac. A. Pat. Cas., MacA. Pat Cas., MacArth., McA. Pat. Cas.",,
MacArth.,"District of Columbia Reports, MacArthur",,state,MacArth.,,,,,,1873-01-01T00:00:00,,,,,,1879-12-31T00:00:00,,,,,,us:dc;court.appeals,"D.C.(MacArth.), MacAr., MacArthur",,
MacArth. & M.,"District of Columbia Reports, MacArthur and Mackey",,state,MacArth. & M.,,,,,,1879-01-01T00:00:00,,,,,,1880-12-31T00:00:00,,,,,,us:dc;court.appeals,"D.C.(MacArth.& M.), MacAr.& M., MacAr.& Mackey, MacArth.& M.(Dist.Col.), MacArthur & M.",,
Mackey,"District of Columbia Reports, Mackey",,state,Mackey,,,,,,1863-01-01T00:00:00,,,,,,1892-12-31T00:00:00,,,,,,us:dc;court.appeals,D.C.(Mackey),,
Mann. Unrep. Cas.,Manning's Unreported Cases (La.),,state,Mann. Unrep. Cas.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:la;supreme.court,"Man. Unrep. Cas., Manning La., Manning's U.C., Manning's Unrep. Cases",,
Mart.,"Louisiana Reports, Martin",,state,Mart.,Mart. (N.S.),,,,,1809-01-01T00:00:00,1750-01-01T00:00:00,,,,,1830-12-31T00:00:00,,,,,,us:la;supreme.court,"Mart. (n.s.), Mart. (o.s.), Mart. Rep., Mart.(o.s.)",,
Mart.,"North Carolina Reports, Martin",,state,Mart.,,,,,,1778-01-01T00:00:00,,,,,,1797-12-31T00:00:00,,,,,,us:nc;supreme.court,"Mart. Rep., Mart.Dec., Mart.N.C., Martin, Martin Rep., N.C.(Mart.)",,
Mart. & Yer.,"Tennessee Reports, Martin & Yerger",,state,Mart. & Yer.,,,,,,1825-01-01T00:00:00,,,,,,1828-12-31T00:00:00,,,,,,us:tn;supreme.court,"M.& Y., M.& Y.R., Mart.& Y., Mart.& Y.(Tenn.), Mart.& Yerg.",,
Mart. O.S. (La.),"Martin's Louisiana Reports, Old Series",,federal,Mart. O.S. (La.),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Marvel,"Delaware Reports, Marvel",,state,Marvel,,,,,,1893-01-01T00:00:00,,,,,,1897-12-31T00:00:00,,,,,,us:de;supreme.court,"Marv., Marv. (Del.)",,
Mason C.C.,Mason's United States (US) Circuit Court Reports,,federal,Mason C.C.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Mas., Mason, Mason C.C.R., Mason Circt. Ct. R., Mason R., Mason U.S., Mason.",,
Mass.,Massachusetts Reports,,state,Mass.,,,,,,1867-01-01T00:00:00,,,,,,,,,,,,us:ma;supreme.court,"Ma., Mas., Mas. Rep., Mass. R., Mass. Rep.",,
Mass. App. Ct.,Massachusetts Appeals Court Reports,,state,Mass. App. Ct.,,,,,,1972-01-01T00:00:00,,,,,,,,,,,,us:ma;appeals.court,"Ma.A., Mass.App., Mass.App.Ct.",,
Mass. App. Dec.,Massachusetts Appellate Decisions,,state,Mass. App. Dec.,,,,,,1941-01-01T00:00:00,,,,,,1977-12-31T00:00:00,,,,,,us:ma;appeals.court,,,
Mass. App. Div.,Reports of Massachusetts Appellate Division,,state,Mass. App. Div.,,,,,,1936-01-01T00:00:00,,,,,,,,,,,,us:ma;appeals.court,,,
Mass. App. Div. Adv. Sh.,Massachusetts Appellate Division Advance Sheets,,state,Mass. App. Div. Adv. Sh.,,,,,,1975-01-01T00:00:00,,,,,,,,,,,,us:ma;appeals.court,,,
Mass. App. Div. LEXIS,LexisNexis Massachusetts Appellate Division,,state,Mass. App. Div. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ma;appellate.division,,,
Mass. App. LEXIS,LexisNexis Massachusetts Court of Appeals,,state,Mass. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ma;court.appeals,,,
Mass. App. Unpub. LEXIS,LexisNexis Massachusetts Appeals Court Unpublished,,state,Mass. App. Unpub. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ma;appeals.court,,,
Mass. L. Rptr.,Massachusetts Law Reporter,,state,Mass. L. Rptr.,,,,,,1993-01-01T00:00:00,,,,,,,,,,,,us:ma;superior.court,,,
Mass. LCR LEXIS,LexisNexis Massachusetts Land Court,,state,Mass. LCR LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ma;land.court,,,
Mass. LEXIS,LexisNexis Massachusetts Supreme Court,,state,Mass. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ma;supreme.court,,,
Mass. Super. LEXIS,LexisNexis Massachusetts Superior Court,,state,Mass. Super. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ma;superior.court,,,
Mass. Supp.,Massachusetts Reports Supplement,,state,Mass. Supp.,,,,,,1980-01-01T00:00:00,,,,,,1983-12-31T00:00:00,,,,,,us:ma;appeals.court,,,
McAll.,McAllister's Circuit Court Reports (U.S.),,federal,McAll.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"McAl., McAll. (Cal.), McAllister U.S. Circ. Court R.",,
McCahon,"Kansas Reports, McCahon",,state,McCahon,,,,,,1858-01-01T00:00:00,,,,,,1868-12-31T00:00:00,,,,,,us:ks;supreme.court,McCah.,,
McCanless,Mccanless' Reports (Tenn.),,state,McCanless,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:tn;supreme.court,,,
McCord,"South Carolina Reports, McCord",,state,McCord,,,,,,1821-01-01T00:00:00,,,,,,1828-12-31T00:00:00,,,,,,us:sc;supreme.court,"McCord Rep., S.C.L.(McCord)",,
McCord Eq.,"South Carolina Reports, McCord's Chancery",,state,McCord Eq.,,,,,,1825-01-01T00:00:00,,,,,,1827-12-31T00:00:00,,,,,,us:sc;supreme.court,"McCord Ch., McCord Ch. Rep., S.C.L.(McCord Eq.)",,
McCrary's Cir. Ct. Rpts,McCrary's Circuit Court Reports,,federal,McCrary's Cir. Ct. Rpts,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,McCrary,,
McGl.,"Louisiana Court of Appeals Reports, McGloin",,state,McGl.,,,,,,1881-01-01T00:00:00,,,,,,1884-12-31T00:00:00,,,,,,us:la;supreme.court,McGloin,,
McGrath,McGrath's Mandamus Cases (Michigan),,state,McGrath,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mi;supreme.court,"M.,, McGrdath",,Also known as 'Mandamus cases decided in the Supreme court of Michigan'
McLean,McLean's United States (US) Circuit Court Reports,,federal,McLean,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Mc Lean, McLean.",,
McMul.,"South Carolina Reports, McMullen",,state,McMul.,,,,,,1840-01-01T00:00:00,,,,,,1842-12-31T00:00:00,,,,,,us:sc;supreme.court,"McMul.L.(S.C.), S.C.L.(McMul.)",,
McMul. Eq.,"South Carolina Reports, McMullen's Equity",,state,McMul. Eq.,,,,,,1840-01-01T00:00:00,,,,,,1842-12-31T00:00:00,,,,,,us:sc;supreme.court,"McMul.Eq.(S.C.), S.C.L.(McMullan Eq.)",,
Md.,Maryland Reports,,state,Md.,,,,,,1851-01-01T00:00:00,,,,,,,,,,,,us:md;court.appeals,"Maryland, Maryland Rep., Md. Rep.",,
Md. App.,Maryland Appellate Reports,,state,Md. App.,,,,,,1967-01-01T00:00:00,,,,,,,,,,,,us:md;court.appeals,Md.App.,,
Md. App. LEXIS,LexisNexis Maryland Court of Appeals,,state,Md. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:md;court.appeals,,,
Md. Ch.,Reports of cases decided in the High court of chancery of Maryland,,state,Md. Ch.,,,,,,1841-01-01T00:00:00,,,,,,1853-12-31T00:00:00,,,,,,us:md;court.appeals,,,
Md. Cir. Ct. LEXIS,LexisNexis Maryland Circuit Court,,state,Md. Cir. Ct. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:md;circuit.court,,,
Md. LEXIS,LexisNexis Maryland Court Appeals,,state,Md. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:md;court.appeals,,,
Md. Tax LEXIS,LexisNexis Maryland Supreme Court,,state,Md. Tax LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:md;supreme.court,,,
Me.,Maine Reports,,state,Me.,,,,,,1820-01-01T00:00:00,,,,,,1965-12-31T00:00:00,,,,,,us:me;supreme.judicial.court,"Mai., Maine, Maine Rep.",,
Me. LEXIS,LexisNexis Maine Supreme Court,,state,Me. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:me;supreme.court,,,
Me. Super. LEXIS,LexisNexis Maine Superior Court,,state,Me. Super. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:me;superior.court,,,
Me. Unpub. LEXIS,LexisNexis Maine Supreme Court Unpublished,,state,Me. Unpub. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:me;supreme.court,,,
Med. Devices Rep. (CCH),Medical Devices Reports,,specialty,Med. Devices Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Media L. Rep. (BNA),Media Law Reporter,,specialty,Media L. Rep. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,Media L. Rep.,,
Medicare & Medicaid Guide (CCH),Medicare and Medicaid Guide,,specialty,Medicare & Medicaid Guide (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Meigs,"Tennessee Reports, Meigs",,state,Meigs,,,,,,1838-01-01T00:00:00,,,,,,1839-12-31T00:00:00,,,,,,us:tn;supreme.court,Tenn.(Meigs),,
Met.,"Kentucky Reports, Metcalf",,state,Met.,,,,,,1858-01-01T00:00:00,,,,,,1863-12-31T00:00:00,,,,,,us:ky;supreme.court,"Ky.(Met.), Met. Rep., Metc., Metc. Rep., Metc.Ky.",,
Met.,"Massachusetts Reports, Metcalf",,state,Met.,,,,,,1840-01-01T00:00:00,,,,,,1847-12-31T00:00:00,,,,,,us:ma;appeals.court,"Mass.(Met.), Met. Rep., Metc., Metc. Rep., Metc.Mass.",,
Mich.,Michigan Reports,,state,Mich.,,,,,,1847-01-01T00:00:00,,,,,,,,,,,,us:mi;supreme.court,"Mich, Mich. Rep.",,
Mich. App.,Michigan Appeals Reports,,state,Mich. App.,,,,,,1965-01-01T00:00:00,,,,,,,,,,,,us:mi;supreme.court,"Mich App, Mich.App.",,
Mich. App. LEXIS,LexisNexis Michigan Supreme Court,,state,Mich. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mi;supreme.court,,,
Mich. Ct. Cl.,Michigan Court of Claims Reports,,state,Mich. Ct. Cl.,,,,,,1938-01-01T00:00:00,,,,,,1942-12-31T00:00:00,,,,,,us:mi;supreme.court,,,
Mich. LEXIS,LexisNexis Michigan Supreme Court,,state,Mich. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mi;supreme.court,,,
Mich. N.P.,Brown's or Howell's Michigan Nisi Prius Reports or Cases,,state,Mich. N.P.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mi;supreme.court,Mich. N.P. R.,,
Mich. Pr.,"Practice reports. Cases decided in the Supreme court of Michigan in 1896, in which written opinions were not filed.",,state,Mich. Pr.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mi;supreme.court,,,
Miles,Reports of cases determined in the district court for the city and county of Philadelphia,,state,Miles,,,,,,1825-01-01T00:00:00,,,,,,1842-12-31T00:00:00,,,,,,us:pa;district.court,,,
Mill,"South Carolina Reports, Mill (Constitutional)",,state,Mill,,,,,,1817-01-01T00:00:00,,,,,,1818-12-31T00:00:00,,,,,,us:sc;supreme.court,"Const., Const. Rep., Const.S.C., Mill Const., Mill Const.(S.C.), S.C.L.(Mill)",,
Miller's Notebook,Miller's Notebook,,specialty,Miller's Notebook,,,,,,1792-01-01T00:00:00,,,,,,1830-12-31T00:00:00,,,,,,us:de;,Miller’s Notebook,,"Dates are rough, but wide, estimated from a series called Delaware Cases, which had these dates. See: http://www.worldcat.org/oclc/2882722"
Mills Surr.,"Mills' Reports, New York Surrogate Court",,state,Mills Surr.,,,,,,1899-01-01T00:00:00,,,,,,1917-12-31T00:00:00,,,,,,us:ny;supreme.court,"Mills, Mills., mills",,
Minn.,Minnesota Reports,,state,Minn.,,,,,,1851-01-01T00:00:00,,,,,,1977-12-31T00:00:00,,,,,,us:mn;supreme.court,"Min., Min. Rep., Minn. Rep.",,
Minn. App. LEXIS,LexisNexis Minnesota Appeals Court,,state,Minn. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mn;appeals.court,,,
Minn. App. Unpub. LEXIS,LexisNexis Minnesota Appeals Court Unpublished,,state,Minn. App. Unpub. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mn;appeals.court,,,
Minn. Dist. LEXIS,LexisNexis Minnesota District Court,,state,Minn. Dist. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mn;district.court,,,
Minn. LEXIS,LexisNexis Minnesota Supreme Court,,state,Minn. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mn;supreme.court,,,
Minn. Tax LEXIS,LexisNexis Minnesota Supreme Court,,state,Minn. Tax LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mn;supreme.court,,,
Minor,Minor's Alabama Reports,,state,Minor,,,,,,1820-01-01T00:00:00,,,,,,1826-01-01T00:00:00,,,,,,us:al;supreme.court,"Min., Min. Rep., Minor (Ala.)",,
Misc.,New York Miscellaneous Reports,,state,Misc.,Misc. 2d,Misc. 3d,,,,1892-01-01T00:00:00,1955-01-01T00:00:00,2004-01-01T00:00:00,,,,1955-12-31T00:00:00,2004-12-31T00:00:00,,,,,us:ny;court.appeals,"Misc, Misc 2d, Misc 3d, Misc Rep., Misc. Rep, Misc. Rep., Misc.2d, Misc.3d",,
Miss.,Mississippi Reports,,state,Miss.,,,,,,1851-01-01T00:00:00,,,,,,1966-12-31T00:00:00,,,,,,us:ms;supreme.court,"Mis., Mis. Rep., Miss. R., Miss. Rep.",,
Miss. App. LEXIS,LexisNexis Mississippi Appeals Court,,state,Miss. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ms;appeals.court,,,
Miss. Dec.,Mississippi Decisions,,state,Miss. Dec.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ms;supreme.court,,,
Miss. LEXIS,LexisNexis Mississippi Supreme Court,,state,Miss. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ms;court.supreme,,,
Mo.,Missouri Reports,,state,Mo.,,,,,,1821-01-01T00:00:00,,,,,,1956-12-31T00:00:00,,,,,,us:mo;supreme.court,Mo. Rep.,,
Mo. App.,Missouri Appeals Reports,,state,Mo. App.,,,,,,1876-01-01T00:00:00,,,,,,1954-12-31T00:00:00,,,,,,us:mo;supreme.court,Mo.App.Rep.,,
Mo. App. LEXIS,LexisNexis Missouri Appeals Court,,state,Mo. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mo;appeals.court,,,
Mo. LEXIS,LexisNexis Missouri Supreme Court,,state,Mo. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mo;supreme.court,,,
Monag.,"Pennsylvania State Reports, Monaghan",,state,Monag.,,,,,,1888-01-01T00:00:00,,,,,,1890-12-31T00:00:00,,,,,,us:pa;supreme.court,"Mon., Mon. Rep., Mona., Monaghan, Monaghan(Pa.)",,
Mont.,Montana Reports,,state,Mont.,,,,,,1868-01-01T00:00:00,,,,,,,,,,,,us:mt;supreme.court,"Mon., Mont, Mt., State Reptr.",,
Mont. Dist. LEXIS,LexisNexis Montana District Court,,state,Mont. Dist. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mt;district.court,,,
Mont. LEXIS,LexisNexis Montana Supreme Court,,state,Mont. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mt;supreme.court,,,
Mont. Water LEXIS,LexisNexis Missouri Water Court,,state,Mont. Water LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mo;water.court,,,
Montg.,Montgomery County Law Reporter (Pa.),,state,Montg.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:pa;supreme.court,"Mont'g. Co. L. Rep., Mont'g. L. Rep., Montg. (Pa.), Montg. CLR, Montg. CLR., Montg. Co., Montg. Co. L. Rep'r, Montg. Co. L.R., Montg. Co. L.R. (Pa.), Montg. Co. Law Rep'r.",,
Morr. Min. Rep.,Morrison's Mining Reports,,specialty,Morr. Min. Rep.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Mor. Min. Rep., Morr. M.R., Morr. Min. R.",,
Morr. St. Cas.,Morris' State Cases (Miss. 1818-72),,state,Morr. St. Cas.,,,,,,1818-01-01T00:00:00,,,,,,1872-12-31T00:00:00,,,,,,us:ms;supreme.court,"Mor. St. Ca., Mor. St. Cas., Morris St. Cas.",,
Morris,"Iowa Reports, Morris",,state,Morris,,,,,,1839-01-01T00:00:00,,,,,,1846-12-31T00:00:00,,,,,,us:ia;supreme.court,"Mor.Ia., Morr.",,
Munf.,"Virginia Reports, Munford",,state,Munf.,,,,,,1810-01-01T00:00:00,,,,,,1820-12-31T00:00:00,,,,,,us:va;supreme.court,Munf. Rep.,,
Mur.,"North Carolina Reports, Murphey",,state,Mur.,,,,,,1804-01-01T00:00:00,,,,,,1819-12-31T00:00:00,,,,,,us:nc;supreme.court,"Mur. Rep., Murph., Murph. Rep., Murph.(N.C.), N.C.(Mur.)",,
Mut. Funds Guide (CCH),Mutual Funds Guide,,specialty,Mut. Funds Guide (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Myrick,"Reports of Cases in the Probate Court of the City and County of San Francisco, from January 1, 1872, to December 31, 1879, Milton H. Myrick, Probate Judge",,state,Myrick,,,,,,1872-01-01T00:00:00,,,,,,1879-12-31T00:00:00,,,,,,"us:ca;supreme.court, us:ca;appeals.court",,,
N. Chip.,"Vermont Reports, Chipman, N.",,state,N. Chip.,,,,,,1789-01-01T00:00:00,,,,,,1791-12-31T00:00:00,,,,,,us:vt;supreme.court,"Chip.N., N.Chip.(Vt.), N.Chipm.",,
N. Mar. I.,Northern Mariana Islands Reporter,,state,N. Mar. I.,,,,,,1989-01-01T00:00:00,,,,,,,,,,,,us:c9:mp.d;district.court,,,
N. Mar. I. Commw.,Northern Mariana Islands Commonwealth Reporter,,state,N. Mar. I. Commw.,,,,,,1979-01-01T00:00:00,,,,,,,,,,,,us:c9:mp.d;district.court,N. Mar. I. Commw. Rptr.,,
N. Mar. I. LEXIS,LexisNexis Northern Mariana Islands Supreme Court,,state,N. Mar. I. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:mp;supreme.court,,,
N.B.R.,National Bankruptcy Register Reports,,specialty,N.B.R.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
N.C.,North Carolina Reports,,state,N.C.,,,,,,1868-01-01T00:00:00,,,,,,,,,,,,us:nc;supreme.court,N. C. Rep.,,
N.C. App.,North Carolina Court of Appeals Reports,,state,N.C. App.,,,,,,1968-01-01T00:00:00,,,,,,,,,,,,us:nc;supreme.court,N.C.App.,,
N.C. App. LEXIS,LexisNexis North Carolina Supreme Court,,state,N.C. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nc;supreme.court,,,
N.C. LEXIS,LexisNexis North Carolina Supreme Court,,state,N.C. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nc;supreme.court,,,
N.D.,North Dakota Reports,,state,N.D.,,,,,,1890-01-01T00:00:00,,,,,,1953-12-31T00:00:00,,,,,,us:nd;supreme.court,N. D.,,
N.D. App. LEXIS,LexisNexis North Dakota Appeals Court,,state,N.D. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nd;appeals.court,,,
N.D. LEXIS,LexisNexis North Dakota Supreme Court,,state,N.D. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nd;supreme.court,,,
N.E.,North Eastern Reporter,,state_regional,N.E.,N.E.2d,N.E.3d,,,,1884-01-01T00:00:00,1936-01-01T00:00:00,2013-10-24T00:00:00,,,,1936-12-31T00:00:00,2013-10-24T00:00:00,,,,,"us:il;supreme.court, us:in;supreme.court, us:ma;appeals.court, us:ny;court.appeals, us:oh;supreme.court","N. E., N. E. 2d, N. E. 3d, N. E.2d, N. E.3d, N.E. 2d, N.E. 3d, N.E.Rep., NE, NE 2d, NE 3d, NE2d, NE3d, No.East Rep.",,
N.H.,New Hampshire Reports,,state,N.H.,,,,,,1816-01-01T00:00:00,,,,,,,,,,,,us:nh;supreme.court,"N. H. Rep., N.H. Rep., N.H.R.",,
N.H. LEXIS,LexisNexis New Hampshire Supreme Court,,state,N.H. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nh;supreme.court,,,
N.H. Super. LEXIS,LexisNexis New Hampshire Superior Court,,state,N.H. Super. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nh;superior.court,,,
N.J.,New Jersey Reports,,state,N.J.,,,,,,1948-01-01T00:00:00,,,,,,,,,,,,us:nj;supreme.court,,,
N.J. (Manumission),Bloomfield's Manumission (or Negro) Cases (N.J.),,state,N.J. (Manumission),,,,,,1750-01-01T00:00:00,,,,,,1875-12-31T00:00:00,,,,,,us:ny;supreme.court,"Blm. Neg., Bloom. Man., Bloom. Man. Neg. Cas., Manum., Manum. Cas.",,
N.J. Admin.,New Jersey Administrative Reports,,state,N.J. Admin.,N.J. Admin. 2d,,,,,1982-01-01T00:00:00,1982-01-01T00:00:00,,,,,,,,,,,us:nj;supreme.court,,,
N.J. Ch. LEXIS,LexisNexis New Jersey Chancery Court,,state,N.J. Ch. LEXIS,,,,,,1830-01-01T00:00:00,,,,,,1948-12-31T00:00:00,,,,,,us:nj;chancery.court,,,
N.J. Eq.,New Jersey Equity Reports,,state,N.J. Eq.,,,,,,1830-01-01T00:00:00,,,,,,1948-12-31T00:00:00,,,,,,us:nj;supreme.court,,,
N.J. LEXIS,LexisNexis New Jersey Supreme Court,,state,N.J. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;supreme.court,,,
N.J. Law J.,New Jersey Law Journal,,state,N.J. Law J.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;supreme.court,N. J. Law J.,,
N.J. Misc.,New Jersey Miscellaneous Reports,,state,N.J. Misc.,,,,,,1923-01-01T00:00:00,,,,,,1949-12-31T00:00:00,,,,,,us:nj;supreme.court,"N.J.M., NJM",,
N.J. Misc. LEXIS,LexisNexis New Jersey Miscellaneous Opinions,,state,N.J. Misc. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;court.appeals,,,
N.J. Prerog. Ct. LEXIS,LexisNexis New Jersey Prerogative Court,,state,N.J. Prerog. Ct. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;prerogative.court,,,
N.J. Sup. Ct. LEXIS,LexisNexis New Jersey Superior Court,,state,N.J. Sup. Ct. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;superior.court,,,
N.J. Super.,New Jersey Superior Court Reports,,state,N.J. Super.,,,,,,1948-01-01T00:00:00,,,,,,,,,,,,us:nj;supreme.court,"N.J.S., N.J.Super.",,
N.J. Super. LEXIS,LexisNexis New Jersey Superior Court,,state,N.J. Super. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;superior.court,,,
N.J. Super. Unpub. LEXIS,LexisNexis New Jersey Superior Court Unpublished,,state,N.J. Super. Unpub. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;superior.court,,,
N.J. Tax,New Jersey Tax Court,,state,N.J. Tax,,,,,,1979-01-01T00:00:00,,,,,,,,,,,,us:nj;supreme.court,"N.J. Tax., N.J.Tax",,
N.J.L.,New Jersey Law Reports,,state,N.J.L.,,,,,,1790-01-01T00:00:00,,,,,,1948-12-31T00:00:00,,,,,,us:nj;supreme.court,N.J.Law,,
N.J.L.J.,New Jersey Law Journal,,state,N.J.L.J.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;supreme.court,,,
N.L.R.B.,Decisions and Orders of the National Labor Relations Board,,federal,N.L.R.B.,,,,,,1935-07-05T00:00:00,,,,,,,,,,,,,"NLRB, NLRB Dec. (CCH)",,
N.M.,New Mexico Reports,,state,N.M.,,,,,,1852-01-01T00:00:00,,,,,,,,,,,,us:nm;supreme.court,,,
N.M. (G.),New Mexico Reports (Gildersleeve),,state,N.M. (G.),,,,,,1852-01-01T00:00:00,,,,,,1889-12-31T00:00:00,,,,,,us:nm;supreme.court,"Gild., Gildersleeve, Gildersleeve (N. Mex.), Gildr., N.M. (Gild.)",,
N.M. (J.),New Mexico Reports (Johnson),,state,N.M. (J.),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nm;supreme.court,"Johnson, Johnson Rep., N.M. (John.)",,
N.M. App. LEXIS,LexisNexis New Mexico Appeals Court,,state,N.M. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nm;appeals.court,,,
N.M. App. Unpub. LEXIS,LexisNexis New Mexico Appeals Court Unpublished,,state,N.M. App. Unpub. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nm;appeals.court,,,
N.M. LEXIS,LexisNexis New Mexico Supreme Court,,state,N.M. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nm;supreme.court,,,
N.M. St. B. Bull.,New Mexico State Bar Bulletin,,state,N.M. St. B. Bull.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nm;supreme.court,,,
N.M. Unpub. LEXIS,LexisNexis New Mexico Supreme Court Unpublished,,state,N.M. Unpub. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nm;supreme.court,,,
N.M.B.,Decisions of the National Mediation Board,,federal,N.M.B.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
N.R.C.,Nuclear Regulatory Commission Issuances,,federal,N.R.C.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
