citation,name,publisher,cite_type,edition1,edition2,edition3,edition4,edition5,edition6,start_e1,start_e2,start_e3,start_e4,start_e5,start_e6,end_e1,end_e2,end_e3,end_e4,end_e5,end_e6,mlz_jurisdictions,variations,href,notes
Bedell,Bedell,,state,Bedell,,,,,,1900-01-01T00:00:00,,,,,,1909-12-31T00:00:00,,,,,,us:ny;court.appeals,,,"Bedell, Edwin was the NY Reporter from 1900 until 1909. Date ranges are an estimate."
Bee,Bee's United States (US) District Court Reports,,scotus_early,Bee,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;supreme.court,,,
Beeler,Beeler's Reports (Tenn.),,state,Beeler,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:tn;supreme.court,,,
Ben.,Benedict United States District Reports,,federal,Ben.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Ben. Rev. Bd. Serv. (MB),Benefits Review Board Service,,specialty,Ben. Rev. Bd. Serv. (MB),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Betts' Dec.,Reports of Cases Argued and Determined in the District Court of the United States for the Southern District of New York,,federal,Betts' Dec.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:c2:ny.sd;district.court,"Bett's D. C. MS., Betts D. C. MS., Betts' C. C. MS., Betts' D. C. MS., Betts, C. C. MS., Betts, D. C., Betts, D. C. MS., Betts, D. C. Ms., Betts. D. C. MSS.",,
Bibb,"Kentucky Reports, Bibb",,state,Bibb,,,,,,1808-01-01T00:00:00,,,,,,1817-12-31T00:00:00,,,,,,us:ky;supreme.court,"Bibb Rep., Bibb(Ky.), Ky.(Bibb)",,
Binn.,"Pennsylvania State Reports, Binney",,state,Binn.,,,,,,1799-01-01T00:00:00,,,,,,1814-12-31T00:00:00,,,,,,us:pa;supreme.court,"Bin., Bin. Rep., Binn. Rep., Binn.(Pa.)",,
Biss.,Bissell's United States Circuit Court Reports,,federal,Biss.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,"us:c7:il.cd;district.court, us:c7:il.d;district.court, us:c7:il.ed;district.court, us:c7:il.nd;district.court, us:c7:il.sd;district.court, us:c7:in.d;district.court, us:c7:in.nd;district.court, us:c7:in.sd;district.court, us:c7:wi.ed;district.court, us:c7:wi.wd;district.court, us:c7;court.appeals","Biss, Biss. (U.S.) Bissell's, Bissell",,
Black,Black's Supreme Court Reports,,scotus_early,Black,,,,,,1861-01-01T00:00:00,,,,,,1862-12-31T00:00:00,,,,,,us;supreme.court,"Black R., Black Rep., U.S.(Black)",,
Blackf.,"Indiana Reports, Blackford",,state,Blackf.,,,,,,1817-01-01T00:00:00,,,,,,1847-12-31T00:00:00,,,,,,us:in;supreme.court,"Black., Black. Rep., Blackf. Rep., Blackf.(Ind.)",,
Bland,"Reports of cases decided in the High court of chancery of Maryland (Bland, Chancellor)",,state,Bland,,,,,,1797-01-01T00:00:00,,,,,,1832-12-31T00:00:00,,,,,,us:md;court.appeals,,,
Blatchf.,Blatchford's United States Circuit Court Reports,,federal,Blatchf.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Bl., Bl. C.C., Bl. C.C.R., Blat. C.C.R., Blatch, Blatch. (U.S. Cir. Ct.), Blatchf. (U.S. Circ. Ct.), Blatchf. C.C., Blatchf. C.C. Rep.",,
Blue Sky L. Rep. (CCH),Blue Sky Law Reports,,specialty,Blue Sky L. Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Blume Sup. Ct. Trans.,"Blume, Supreme Court Transactions",,state,Blume Sup. Ct. Trans.,,,,,,1805-01-01T00:00:00,,,,,,1836-12-31T00:00:00,,,,,,us:mi;supreme.court,Blume Sup.Ct.Trans.,,
Blume Unrep. Op.,"Blume, Unreported Opinions",,state,Blume Unrep. Op.,,,,,,1836-01-01T00:00:00,,,,,,1843-12-31T00:00:00,,,,,,us:mi;supreme.court,Blume Op.,,
Bond,Bond's United States (US) Circuit Reports,,federal,Bond,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Bosw.,Bosworth's Reports (14-23 New York Superior),,state,Bosw.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ny;superior.court,,,
Boyce,"Delaware Reports, Boyce",,state,Boyce,,,,,,1909-01-01T00:00:00,,,,,,1920-12-31T00:00:00,,,,,,us:de;supreme.court,Del.(Boyce),,
Bradf.,"Iowa Reports, Bradford",,state,Bradf.,,,,,,1838-01-01T00:00:00,,,,,,1841-12-31T00:00:00,,,,,,us:ia;supreme.court,"Brad., Bradford",,
Brayt.,"Vermont Reports, Brayton",,state,Brayt.,,,,,,1815-01-01T00:00:00,,,,,,1819-12-31T00:00:00,,,,,,us:vt;supreme.court,Brayton (Vt.),,
Breese,"Illinois Reports, Breese",,state,Breese,,,,,,1819-01-01T00:00:00,,,,,,1831-12-31T00:00:00,,,,,,us:il;supreme.court,Ill.(Breese),,
Brev.,"South Carolina Reports, Brevard",,state,Brev.,,,,,,1793-01-01T00:00:00,,,,,,1816-12-31T00:00:00,,,,,,us:sc;supreme.court,"Brev. Rep., S.C.L.(Brev)",,
Brief Times Rptr.,Brief Times Reporter,,state,Brief Times Rptr.,,,,,,1977-01-01T00:00:00,,,,,,1996-12-31T00:00:00,,,,,,us:co;supreme.court,BTR,,
Brightly,"Reports of cases decided by the judges of the supreme court of Pennsylvania, in the court of nisi prius",,state,Brightly,,,,,,1809-01-01T00:00:00,,,,,,1851-12-31T00:00:00,,,,,,us:pa;nisi.prius.court,,,
